ok
1  3  4  1078.642954 285515.026540 284.135387 100871.226787 1280.751435 1282.796985 0
1  3  5  1046.226675 285524.469162 284.144784 100882.903401 1280.899692 1283.574814 0
1  3  6  1051.573256 285515.030354 284.135391 100871.231503 1280.751495 1282.797299 0
1  3  7  1079.975486 285494.063722 284.114525 100845.307910 1280.422346 1281.071687 0
1  3  8  1124.529827 285465.021034 284.085623 100809.406770 1279.966513 1278.684811 1
1  3  9  1181.819504 285429.610679 284.050384 100765.646585 1279.410894 1275.779967 1
1  3  10  1250.112013 285388.698907 284.009670 100715.104635 1278.769168 1272.431144 1
1  3  11  1328.561968 285342.708412 283.963901 100658.310109 1278.048054 1268.675955 1
1  3  12  1416.846032 285291.800863 283.913240 100595.470101 1277.250181 1264.530798 1
1  3  13  1515.000328 285235.958197 283.857667 100526.570445 1276.375370 1259.997680 1
1  3  14  1623.365764 285175.009962 283.797013 100451.409926 1275.421064 1255.066639 1
1  3  15  1742.605194 285108.624730 283.730949 100369.590257 1274.382208 1249.715287 1
1  3  16  1873.787032 285036.268294 283.658942 100280.465320 1273.250598 1243.905757 1
1  3  17  2018.553590 284957.119498 283.580176 100183.038658 1272.013582 1237.578436 1
1  3  18  2179.422328 284869.919611 283.493397 100075.779959 1270.651730 1230.640712 1
1  3  19  2360.320609 284772.704954 283.396652 99956.299491 1269.134699 1222.947077 1
1  3  20  2567.561434 284662.319024 283.286800 99820.754606 1267.413700 1214.263050 1
1  3  21  2811.705791 284533.481328 283.158585 99662.718564 1265.407132 1204.196965 1
1  3  22  3111.329480 284376.903966 283.002764 99470.896920 1262.971593 1192.063740 1
1  3  23  3501.213610 284175.196384 282.802031 99224.175479 1259.838997 1176.594018 1
1  3  24  4051.887005 283893.094169 282.521292 98879.851796 1255.467155 1155.258700 1
1  3  25  4922.631331 283450.956489 282.081291 98341.912935 1248.637001 1122.513343 1
1  3  26  6535.934373 282637.539451 281.271804 97357.712366 1236.140709 1064.425585 1
1  3  27  10350.587425 280723.447408 279.366961 95069.523671 1207.087816 938.179502 1
1  3  28  23930.706200 273926.622503 272.602979 87254.082762 1107.855979 590.743327 1
1  4  1  1596.269170 285276.509983 283.898023 100576.600594 1277.010597 1263.288093 1
1  4  2  1023.049759 285556.354172 284.176515 100922.339093 1281.400403 1286.204426 0
1  4  3  775.830894 285673.198087 284.292794 101066.946901 1283.236473 1295.881813 0
1  4  4  668.513232 285720.091400 284.339461 101125.024376 1283.973877 1299.783871 0
1  4  5  626.106086 285734.529456 284.353829 101142.910740 1284.200978 1300.987387 0
1  4  6  617.478566 285732.077699 284.351389 101139.873259 1284.162411 1300.782946 0
1  4  7  628.795235 285719.653848 284.339025 101124.482356 1283.966995 1299.747413 0
1  4  8  653.477371 285700.547262 284.320011 101100.816020 1283.666506 1298.156306 0
1  4  9  688.231014 285676.404923 284.295985 101070.917816 1283.286891 1296.148326 0
1  4  10  731.371502 285648.069162 284.267787 101035.834477 1282.841442 1293.795098 0
1  4  11  782.074709 285615.952041 284.235825 100996.079844 1282.336681 1291.132438 0
1  4  12  840.031181 285580.208288 284.200254 100951.849297 1281.775091 1288.174854 0
1  4  13  905.291812 285540.812455 284.161048 100903.115571 1281.156324 1284.922075 0
1  4  14  978.217517 285497.584086 284.118029 100849.660231 1280.477607 1281.361278 0
1  4  15  1059.499754 285450.177450 284.070851 100791.061388 1279.733583 1277.466420 1
1  4  16  1150.247928 285398.037846 284.018963 100726.640262 1278.915635 1273.194890 1
1  4  17  1252.162937 285340.314824 283.961519 100655.354849 1278.010532 1268.480785 1
1  4  18  1367.846133 285275.707709 283.897224 100575.610628 1276.998028 1263.222922 1
1  4  19  1501.345721 285202.192397 283.824064 100484.925968 1275.846614 1257.263716 1
1  4  20  1659.150496 285116.524493 283.738810 100379.324203 1274.505799 1250.351024 1
1  4  21  1852.081008 285013.293719 283.636078 100252.178250 1272.891440 1242.066159 1
1  4  22  2099.107783 284883.014814 283.506429 100091.882249 1270.856179 1231.680365 1
1  4  23  2435.659132 284707.973623 283.332234 99876.798785 1268.125287 1217.847997 1
1  4  24  2933.547300 284452.264021 283.077760 99563.186957 1264.143390 1197.889743 1
1  4  25  3755.640751 284034.451779 282.661966 99052.280875 1257.656469 1165.906034 1
1  4  26  5338.581952 283236.215661 281.867587 98081.398328 1245.329274 1106.909988 1
1  4  27  9208.183758 281294.649241 279.935403 95748.296713 1215.706127 974.375124 1
